country,year,value
IT,2019,0.0
IT,2020,0.0
IT,2021,0.0
LI,2009,0.0
LI,2010,0.0
LI,2011,0.0
LI,2012,0.0
LI,2013,0.0
LI,2014,0.0
LI,2015,0.0
LI,2016,0.0
LI,2017,0.0
LI,2018,0.0
LI,2019,0.0
LI,2020,0.0
LI,2021,0.0
LT,2009,2845500.0
LT,2010,0.0
LT,2011,0.0
LT,2012,0.0
LT,2013,0.0
LT,2014,0.0
LT,2015,0.0
LT,2016,0.0
LT,2017,0.0
LT,2018,0.0
LT,2019,0.0
LT,2020,0.0
LT,2021,0.0
LU,2009,0.0
LU,2010,0.0
LU,2011,0.0
LU,2012,0.0
LU,2013,0.0
LU,2014,0.0
LU,2015,0.0
LU,2016,0.0
LU,2017,0.0
LU,2018,0.0
LU,2019,0.0
LU,2020,0.0
LU,2021,0.0
LV,2009,0.0
LV,2010,0.0
LV,2011,0.0
LV,2012,0.0
LV,2013,0.0
LV,2014,0.0
LV,2015,0.0
LV,2016,0.0
LV,2017,0.0
LV,2018,0.0
LV,2019,0.0
LV,2020,0.0
LV,2021,0.0
MD,2009,0.0
MD,2010,0.0
MD,2011,0.0
MD,2012,0.0
MD,2013,0.0
MD,2014,0.0
MD,2015,0.0
MD,2016,0.0
MD,2017,0.0
MD,2018,0.0
MD,2019,0.0
MD,2020,0.0
MD,2021,0.0
ME,2009,0.0
ME,2010,0.0
ME,2011,0.0
ME,2012,0.0
ME,2013,0.0
ME,2014,0.0
ME,2015,0.0
ME,2016,0.0
ME,2017,0.0
ME,2018,0.0
ME,2019,0.0
ME,2020,0.0
ME,2021,0.0
MK,2009,0.0
MK,2010,0.0
MK,2011,0.0
MK,2012,0.0
MK,2013,0.0
MK,2014,0.0
MK,2015,0.0
MK,2016,0.0
MK,2017,0.0
MK,2018,0.0
MK,2019,0.0
MK,2020,0.0
MK,2021,0.0
MT,2009,0.0
MT,2010,0.0
MT,2011,0.0
MT,2012,0.0
MT,2013,0.0
MT,2014,0.0
MT,2015,0.0
MT,2016,0.0
MT,2017,0.0
MT,2018,0.0
MT,2019,0.0
MT,2020,0.0
MT,2021,0.0
NL,2009,980000.0
NL,2010,917400.0
NL,2011,959200.0
NL,2012,920000.0
NL,2013,656200.0
NL,2014,941300.0
NL,2015,937350.0
NL,2016,916140.0
NL,2017,789540.0
NL,2018,812260.0
NL,2019,910310.0
NL,2020,955890.0
NL,2021,890430.0
NO,2009,0.0
NO,2010,0.0
NO,2011,0.0
NO,2012,0.0
NO,2013,0.0
NO,2014,0.0
NO,2015,0.0
NO,2016,0.0
NO,2017,0.0
NO,2018,0.0
NO,2019,0.0
NO,2020,0.0
NO,2021,0.0
PL,2009,0.0
PL,2010,0.0
PL,2011,0.0
PL,2012,0.0
PL,2013,0.0
PL,2014,0.0
PL,2015,0.0
PL,2016,0.0
PL,2017,0.0
PL,2018,0.0
PL,2019,0.0
PL,2020,0.0
PL,2021,0.0
PT,2009,0.0
PT,2010,0.0
PT,2011,0.0
PT,2012,0.0
PT,2013,0.0
PT,2014,0.0
PT,2015,0.0
PT,2016,0.0
PT,2017,0.0
PT,2018,0.0
PT,2019,0.0
PT,2020,0.0
PT,2021,0.0
RO,2009,2979600.0
RO,2010,2922830.0
RO,2011,2978900.0
RO,2012,3008490.0
RO,2013,2922200.0
RO,2014,2941200.0
RO,2015,2940100.0
RO,2016,2810700.0
RO,2017,2907000.0
RO,2018,2877000.0
RO,2019,2846000.0
RO,2020,2887000.0
RO,2021,2866000.0
RS,2009,0.0
RS,2010,0.0
RS,2011,0.0
RS,2012,0.0
RS,2013,0.0
RS,2014,0.0
RS,2015,0.0
RS,2016,0.0
RS,2017,0.0
RS,2018,0.0
RS,2019,0.0
RS,2020,0.0
RS,2021,0.0
SE,2009,12881000.0
SE,2010,14498000.0
SE,2011,15252000.0
SE,2012,15632000.0
SE,2013,15996000.0
SE,2014,16362000.0
SE,2015,15532000.0
SE,2016,15699000.0
SE,2017,16351000.0
SE,2018,16727000.0
SE,2019,16239000.0
SE,2020,12028000.0
SE,2021,12342000.0
SI,2009,1354686.0
SI,2010,1335240.0
SI,2011,1470482.0
SI,2012,1308132.0
SI,2013,1250900.0
SI,2014,1499459.0
SI,2015,1332200.0
SI,2016,1348646.0
SI,2017,1488100.0
SI,2018,1364600.0
SI,2019,1375200.0
SI,2020,1496852.0
SI,2021,1352443.0
SK,2009,3783000.0
SK,2010,3853280.0
SK,2011,4027000.0
SK,2012,4050000.0
SK,2013,4110510.0
SK,2014,4053000.0
SK,2015,4028000.0
SK,2016,3894000.0
SK,2017,3985000.0
SK,2018,3760000.0
SK,2019,4048000.0
SK,2020,4044000.0
SK,2021,4051050.0
TR,2009,0.0
TR,2010,0.0
TR,2011,0.0
TR,2012,0.0
TR,2013,0.0
TR,2014,0.0
TR,2015,0.0
TR,2016,0.0
TR,2017,0.0
TR,2018,0.0
TR,2019,0.0
TR,2020,0.0
TR,2021,0.0
UA,2009,21610000.0
UA,2010,23234000.0
UA,2011,23519000.0
UA,2012,23490000.0
UA,2013,21685000.0
UA,2014,23035000.0
UA,2015,22836000.0
UA,2016,21096000.0
UA,2017,0.0
UA,2018,0.0
UA,2019,0.0
UA,2020,0.0
UA,2021,0.0
UK,2009,15229000.0
UK,2010,13947000.0
UK,2011,15626000.0
UK,2012,15206000.0
UK,2013,15443000.0
UK,2014,13850000.0
UK,2015,15479333.0
UK,2016,15413827.0
UK,2017,15123808.0
UK,2018,14060727.0
UK,2019,13252500.0
UK,2020,0.0
UK,2021,0.0
AZ,2009,0.0
AZ,2010,0.0
AZ,2011,0.0
AZ,2012,0.0
AZ,2013,0.0
AZ,2014,0.0
AZ,2015,0.0
AZ,2016,0.0
AZ,2017,0.0
AZ,2018,0.0
AZ,2019,0.0
AZ,2020,0.0
AZ,2021,0.0
AM,2009,0.0
AM,2010,0.0
AM,2011,0.0
AM,2012,0.0
AM,2013,0.0
AM,2014,0.0
AM,2015,0.0
AM,2016,0.0
AM,2017,0.0
AM,2018,0.0
AM,2019,0.0
AM,2020,0.0
AM,2021,0.0
IL,2009,0.0
IL,2010,0.0
IL,2011,0.0
IL,2012,0.0
IL,2013,0.0
IL,2014,0.0
IL,2015,0.0
IL,2016,0.0
IL,2017,0.0
IL,2018,0.0
IL,2019,0.0
IL,2020,0.0
IL,2021,0.0
AL,2009,0.0
AL,2010,0.0
AL,2011,0.0
AL,2012,0.0
AL,2013,0.0
AL,2014,0.0
AL,2015,0.0
AL,2016,0.0
AL,2017,0.0
AL,2018,0.0
AL,2019,0.0
AL,2020,0.0
AL,2021,0.0
BY,2009,0.0
BY,2010,0.0
BY,2011,0.0
