country,year,value
AT,2004,1000000.0
AT,2005,758000000.0
AT,2006,626000000.0
AT,2007,390000000.0
AT,2008,532000000.0
AT,2009,596000000.0
AT,2010,
AT,2011,
AT,2012,11000000.0
AT,2013,870000000.0
AT,2014,
AT,2015,135000000.0
AT,2016,
AT,2017,1057000000.0
AT,2018,338000000.0
AT,2019,534000000.0
AT,2020,71000000.0
BE,2004,1000000.0
BE,2005,66000000.0
BE,2006,
BE,2007,424000000.0
BE,2008,
BE,2009,
BE,2010,397000000.0
BE,2011,83000000.0
BE,2012,
BE,2013,
BE,2014,111000000.0
BE,2015,
BE,2016,
BE,2017,
BE,2018,35000000.0
BE,2019,
BE,2020,377000000.0
BG,2004,1000000.0
BG,2005,1950000000.0
BG,2006,1000000.0
BG,2007,3000000.0
BG,2008,
BG,2009,
BG,2010,
BG,2011,
BG,2012,4000000.0
BG,2013,
BG,2014,881000000.0
BG,2015,906000000.0
BG,2016,
BG,2017,
BG,2018,
BG,2019,
BG,2020,5000000.0
CH,2004,15000000.0
CH,2005,4179000000.0
CH,2006,31000000.0
CH,2007,725000000.0
CH,2008,1000000.0
CH,2009,975000000.0
CH,2010,13000000.0
CH,2011,
CH,2012,
CH,2013,230000000.0
CH,2014,91000000.0
CH,2015,8000000.0
CH,2016,
CH,2017,349000000.0
CH,2018,135000000.0
CH,2019,164000000.0
CH,2020,125000000.0
CY,2004,
CY,2005,
CY,2006,
CY,2007,
CY,2008,161000000.0
CY,2009,3000000.0
CY,2010,
CY,2011,
CY,2012,
CY,2013,
CY,2014,
CY,2015,
CY,2016,184000000.0
CY,2017,
CY,2018,
CY,2019,
CY,2020,
CZ,2004,
CZ,2005,
CZ,2006,483000000.0
CZ,2007,203000000.0
CZ,2008,38000000.0
CZ,2009,129000000.0
CZ,2010,643000000.0
CZ,2011,
CZ,2012,691000000.0
CZ,2013,1912000000.0
CZ,2014,13000000.0
CZ,2015,
CZ,2016,83000000.0
CZ,2017,496000000.0
CZ,2018,118000000.0
CZ,2019,
CZ,2020,113000000.0
DE,2004,1295000000.0
DE,2005,1560000000.0
DE,2006,976000000.0
DE,2007,5475000000.0
DE,2008,2454000000.0
DE,2009,1159000000.0
DE,2010,2469000000.0
DE,2011,759000000.0
DE,2012,291000000.0
DE,2013,14214000000.0
DE,2014,3874000000.0
DE,2015,2515000000.0
DE,2016,3401000000.0
DE,2017,4934000000.0
DE,2018,10001000000.0
DE,2019,2763000000.0
DE,2020,1724000000.0
DK,2004,1000000.0
DK,2005,
DK,2006,
DK,2007,93000000.0
DK,2008,
DK,2009,
DK,2010,105000000.0
DK,2011,815000000.0
DK,2012,
DK,2013,1046000000.0
DK,2014,80000000.0
DK,2015,
DK,2016,
DK,2017,
DK,2018,80000000.0
DK,2019,
DK,2020,55000000.0
EE,2004,
EE,2005,178000000.0
EE,2006,
EE,2007,
EE,2008,
EE,2009,
EE,2010,42000000.0
EE,2011,
EE,2012,
EE,2013,
EE,2014,
EE,2015,
EE,2016,
EE,2017,
EE,2018,
EE,2019,
EE,2020,
EL,2004,312000000.0
EL,2005,
EL,2006,50000000.0
EL,2007,1301000000.0
EL,2008,
EL,2009,85000000.0
EL,2010,1000000.0
EL,2011,
EL,2012,
EL,2013,11000000.0
EL,2014,
EL,2015,
EL,2016,49000000.0
EL,2017,109000000.0
EL,2018,64000000.0
EL,2019,249000000.0
EL,2020,969000000.0
ES,2004,17000000.0
ES,2005,2444000000.0
ES,2006,718000000.0
ES,2007,395000000.0
ES,2008,
ES,2009,1574000000.0
ES,2010,1087000000.0
ES,2011,159000000.0
ES,2012,325000000.0
ES,2013,12000000.0
ES,2014,
ES,2015,172000000.0
ES,2016,360000000.0
ES,2017,369000000.0
ES,2018,1919000000.0
ES,2019,4394000000.0
ES,2020,658000000.0
FI,2004,2000000.0
FI,2005,137000000.0
FI,2006,1000000.0
FI,2007,27000000.0
FI,2008,
FI,2009,
FI,2010,113000000.0
FI,2011,158000000.0
FI,2012,7000000.0
FI,2013,
FI,2014,
FI,2015,
FI,2016,
FI,2017,
FI,2018,
FI,2019,
FI,2020,86000000.0
