country,year,value
LV,2010,3485920.0
LV,2015,3502240.0
LV,2016,3505510.0
LV,2017,3508780.0
LV,2018,3512050.0
LV,2019,3515320.0
LV,2020,3518590.0
MC,1990,
MC,2000,
MC,2010,
MC,2015,
MC,2016,
MC,2017,
MC,2018,
MC,2019,
MC,2020,
MD,1990,
MD,2000,
MD,2010,
MD,2015,
MD,2016,
MD,2017,
MD,2018,
MD,2019,
MD,2020,
ME,1990,
ME,2000,
ME,2010,
ME,2015,
ME,2016,
ME,2017,
ME,2018,
ME,2019,
ME,2020,
MK,1990,
MK,2000,
MK,2010,
MK,2015,
MK,2016,
MK,2017,
MK,2018,
MK,2019,
MK,2020,
MT,1990,350.0
MT,2000,350.0
MT,2010,350.0
MT,2015,350.0
MT,2016,450.0
MT,2017,490.0
MT,2018,530.0
MT,2019,530.0
MT,2020,530.0
NL,1990,345330.0
NL,2000,359500.0
NL,2010,373480.0
NL,2015,364830.0
NL,2016,365760.0
NL,2017,366700.0
NL,2018,367630.0
NL,2019,368570.0
NL,2020,369500.0
NO,1990,14000000.0
NO,2000,13982000.0
NO,2010,14043000.0
NO,2015,14184000.0
NO,2016,14212200.0
NO,2017,14240400.0
NO,2018,14268600.0
NO,2019,14296800.0
NO,2020,14325000.0
PL,1990,8882000.0
PL,2000,9059000.0
PL,2010,9329000.0
PL,2015,9420000.0
PL,2016,9435000.0
PL,2017,9447000.0
PL,2018,9459000.0
PL,2019,9471000.0
PL,2020,9483000.0
PT,1990,4485000.0
PT,2000,4268000.0
PT,2010,4753000.0
PT,2015,4855000.0
PT,2016,4855000.0
PT,2017,4855000.0
PT,2018,4855000.0
PT,2019,4855000.0
PT,2020,4855000.0
RO,1990,6685000.0
RO,2000,6600000.0
RO,2010,6919000.0
RO,2015,6994550.0
RO,2016,6944620.0
RO,2017,6944620.0
RO,2018,6944620.0
RO,2019,6944620.0
RO,2020,6944620.0
RS,1990,
RS,2000,
RS,2010,
RS,2015,
RS,2016,
RS,2017,
RS,2018,
RS,2019,
RS,2020,
RU,1990,
RU,2000,
RU,2010,
RU,2015,
RU,2016,
RU,2017,
RU,2018,
RU,2019,
RU,2020,
SE,1990,30495000.0
SE,2000,30595000.0
SE,2010,30505000.0
SE,2015,30344000.0
SE,2016,30344000.0
SE,2017,30344000.0
SE,2018,30344000.0
SE,2019,30344000.0
SE,2020,30344000.0
SI,1990,1229000.0
SI,2000,1271000.0
SI,2010,1272000.0
SI,2015,1271000.0
SI,2016,1269850.0
SI,2017,1268700.0
SI,2018,1267550.0
SI,2019,1266430.0
SI,2020,1265250.0
SK,1990,1921700.0
SK,2000,1921400.0
SK,2010,1938900.0
SK,2015,1942570.0
SK,2016,1944120.0
SK,2017,1946310.0
SK,2018,1946310.0
SK,2019,1946310.0
SK,2020,1946310.0
SM,1990,
SM,2000,
SM,2010,
SM,2015,
SM,2016,
SM,2017,
SM,2018,
SM,2019,
SM,2020,
TR,1990,
TR,2000,
TR,2010,
TR,2015,
TR,2016,
TR,2017,
TR,2018,
TR,2019,
TR,2020,
UA,1990,
UA,2000,
UA,2010,
UA,2015,
UA,2016,
UA,2017,
UA,2018,
UA,2019,
UA,2020,
UK,1990,2798000.0
UK,2000,2974000.0
UK,2010,3079000.0
UK,2015,3175000.0
UK,2016,3179000.0
UK,2017,3184000.0
UK,2018,3193000.0
UK,2019,3202000.0
UK,2020,3210000.0
VA,1990,
VA,2000,
VA,2010,
VA,2015,
VA,2016,
VA,2017,
VA,2018,
VA,2019,
VA,2020,
