input,country,year,value
medium,FI,2017,719786.0
medium,FI,2018,739516.0
medium,FI,2019,856413.0
medium,FO,2010,
medium,FO,2011,
medium,FO,2012,
medium,FO,2013,
medium,FO,2014,
medium,FO,2015,
medium,FO,2016,
medium,FO,2017,
medium,FO,2018,
medium,FO,2019,
medium,FR,2010,8575472.0
medium,FR,2011,8801701.0
medium,FR,2012,8511303.0
medium,FR,2013,7718161.0
medium,FR,2014,7207598.0
medium,FR,2015,7921790.0
medium,FR,2016,7720335.0
medium,FR,2017,8093475.0
medium,FR,2018,8065450.0
medium,FR,2019,7844771.0
medium,GE,2010,
medium,GE,2011,
medium,GE,2012,
medium,GE,2013,
medium,GE,2014,
medium,GE,2015,
medium,GE,2016,
medium,GE,2017,
medium,GE,2018,
medium,GE,2019,
medium,HR,2010,
medium,HR,2011,
medium,HR,2012,
medium,HR,2013,432915.0
medium,HR,2014,384662.0
medium,HR,2015,387064.0
medium,HR,2016,338719.0
medium,HR,2017,326550.0
medium,HR,2018,249398.0
medium,HR,2019,274063.0
medium,HU,2010,1816267.0
medium,HU,2011,1816434.0
medium,HU,2012,1609975.0
medium,HU,2013,1618160.0
medium,HU,2014,1633840.0
medium,HU,2015,1901273.0
medium,HU,2016,1555581.0
medium,HU,2017,1554352.0
medium,HU,2018,1788732.0
medium,HU,2019,1674749.0
medium,IE,2010,1509148.0
medium,IE,2011,1405432.0
medium,IE,2012,1345738.0
medium,IE,2013,1343710.0
medium,IE,2014,1271910.0
medium,IE,2015,1283472.0
medium,IE,2016,1244637.0
medium,IE,2017,1199471.0
medium,IE,2018,1274642.0
medium,IE,2019,1232739.0
medium,IL,2010,
medium,IL,2011,
medium,IL,2012,
medium,IL,2013,
medium,IL,2014,
medium,IL,2015,
medium,IL,2016,
medium,IL,2017,
medium,IL,2018,
medium,IL,2019,
medium,IS,2010,
medium,IS,2011,
medium,IS,2012,
medium,IS,2013,
medium,IS,2014,
medium,IS,2015,
medium,IS,2016,
medium,IS,2017,
medium,IS,2018,
medium,IS,2019,
medium,IT,2010,4146276.0
medium,IT,2011,3840925.0
medium,IT,2012,3450269.0
medium,IT,2013,3575329.0
medium,IT,2014,3433162.0
medium,IT,2015,3645597.0
medium,IT,2016,3728969.0
medium,IT,2017,3632183.0
medium,IT,2018,3658299.0
medium,IT,2019,3664726.0
medium,LI,2010,
medium,LI,2011,
medium,LI,2012,
medium,LI,2013,
medium,LI,2014,
medium,LI,2015,
medium,LI,2016,
medium,LI,2017,
medium,LI,2018,
medium,LI,2019,
medium,LT,2010,849697.0
medium,LT,2011,811923.0
medium,LT,2012,787093.0
medium,LT,2013,766690.0
medium,LT,2014,732261.0
medium,LT,2015,684267.0
medium,LT,2016,599363.0
medium,LT,2017,663757.0
medium,LT,2018,715088.0
medium,LT,2019,616638.0
medium,LU,2010,42631.0
medium,LU,2011,43719.0
medium,LU,2012,42083.0
medium,LU,2013,37710.0
medium,LU,2014,39383.0
medium,LU,2015,38349.0
medium,LU,2016,31574.0
medium,LU,2017,27874.0
medium,LU,2018,27192.0
medium,LU,2019,25279.0
medium,LV,2010,531346.0
medium,LV,2011,517474.0
medium,LV,2012,487674.0
medium,LV,2013,414553.0
medium,LV,2014,423484.0
medium,LV,2015,417274.0
medium,LV,2016,410361.0
medium,LV,2017,345132.0
medium,LV,2018,355662.0
medium,LV,2019,323217.0
medium,MC,2010,
medium,MC,2011,
medium,MC,2012,
medium,MC,2013,
medium,MC,2014,
medium,MC,2015,
medium,MC,2016,
medium,MC,2017,
medium,MC,2018,
medium,MC,2019,
medium,MD,2010,
medium,MD,2011,
medium,MD,2012,
medium,MD,2013,
medium,MD,2014,
medium,MD,2015,
medium,MD,2016,
medium,MD,2017,
medium,MD,2018,
medium,MD,2019,
medium,ME,2010,
medium,ME,2011,
medium,ME,2012,
medium,ME,2013,
medium,ME,2014,
medium,ME,2015,
medium,ME,2016,
medium,ME,2017,
medium,ME,2018,
medium,ME,2019,
medium,MK,2010,
medium,MK,2011,
medium,MK,2012,
medium,MK,2013,
medium,MK,2014,
medium,MK,2015,
medium,MK,2016,
medium,MK,2017,
medium,MK,2018,
medium,MK,2019,
medium,MT,2010,2775.0
medium,MT,2011,2727.0
medium,MT,2012,2969.0
medium,MT,2013,2696.0
medium,MT,2014,2565.0
medium,MT,2015,2184.0
medium,MT,2016,2237.0
medium,MT,2017,2487.0
medium,MT,2018,2646.0
medium,MT,2019,2462.0
medium,NL,2010,626429.0
medium,NL,2011,625274.0
medium,NL,2012,592664.0
medium,NL,2013,555500.0
medium,NL,2014,552939.0
medium,NL,2015,467223.0
medium,NL,2016,470456.0
medium,NL,2017,423299.0
medium,NL,2018,481186.0
medium,NL,2019,523567.0
medium,NO,2010,
medium,NO,2011,
medium,NO,2012,
medium,NO,2013,
medium,NO,2014,
medium,NO,2015,
medium,NO,2016,
medium,NO,2017,
medium,NO,2018,
medium,NO,2019,
medium,PL,2010,4505634.0
medium,PL,2011,4610284.0
medium,PL,2012,4458931.0
medium,PL,2013,4505826.0
medium,PL,2014,4442302.0
medium,PL,2015,4431984.0
medium,PL,2016,4839732.0
medium,PL,2017,5081486.0
medium,PL,2018,5077140.0
medium,PL,2019,5004235.0
medium,PT,2010,908015.0
medium,PT,2011,828810.0
medium,PT,2012,1004592.0
medium,PT,2013,914220.0
medium,PT,2014,867757.0
medium,PT,2015,703649.0
medium,PT,2016,691949.0
medium,PT,2017,777105.0
medium,PT,2018,629771.0
medium,PT,2019,689789.0
medium,RO,2010,3529534.0
medium,RO,2011,3596615.0
medium,RO,2012,3755935.0
medium,RO,2013,3141623.0
medium,RO,2014,2833881.0
medium,RO,2015,2994927.0
medium,RO,2016,2997387.0
medium,RO,2017,3387147.0
medium,RO,2018,1184553.0
medium,RO,2019,1870201.0
medium,RS,2010,
medium,RS,2011,
medium,RS,2012,
medium,RS,2013,
medium,RS,2014,
medium,RS,2015,
medium,RS,2016,
medium,RS,2017,
medium,RS,2018,
medium,RS,2019,
medium,RU,2010,
medium,RU,2011,
medium,RU,2012,
medium,RU,2013,
medium,RU,2014,
medium,RU,2015,
medium,RU,2016,
medium,RU,2017,
medium,RU,2018,
medium,RU,2019,
medium,SE,2010,919857.0
medium,SE,2011,891467.0
medium,SE,2012,856499.0
medium,SE,2013,848241.0
medium,SE,2014,1061473.0
medium,SE,2015,1109119.0
medium,SE,2016,1101256.0
medium,SE,2017,1061866.0
medium,SE,2018,1139153.0
medium,SE,2019,1037951.0
medium,SI,2010,153495.0
medium,SI,2011,159544.0
medium,SI,2012,166509.0
medium,SI,2013,174749.0
medium,SI,2014,152237.0
medium,SI,2015,162258.0
medium,SI,2016,152757.0
medium,SI,2017,155942.0
medium,SI,2018,151921.0
medium,SI,2019,153524.0
medium,SK,2010,733598.0
medium,SK,2011,522296.0
medium,SK,2012,474282.0
medium,SK,2013,386686.0
medium,SK,2014,282384.0
medium,SK,2015,299405.0
medium,SK,2016,274108.0
medium,SK,2017,353153.0
medium,SK,2018,373920.0
medium,SK,2019,379335.0
medium,SM,2010,
medium,SM,2011,
medium,SM,2012,
medium,SM,2013,
medium,SM,2014,
medium,SM,2015,
medium,SM,2016,
medium,SM,2017,
medium,SM,2018,
medium,SM,2019,
medium,TR,2010,
medium,TR,2011,
medium,TR,2012,
medium,TR,2013,
medium,TR,2014,
medium,TR,2015,
medium,TR,2016,
medium,TR,2017,
medium,TR,2018,
medium,TR,2019,
medium,UA,2010,
medium,UA,2011,
medium,UA,2012,
medium,UA,2013,
medium,UA,2014,
medium,UA,2015,
medium,UA,2016,
medium,UA,2017,
medium,UA,2018,
medium,UA,2019,
medium,UK,2010,4862529.0
medium,UK,2011,4862347.0
medium,UK,2012,3837445.0
medium,UK,2013,4276288.0
medium,UK,2014,3922067.0
medium,UK,2015,3964927.0
medium,UK,2016,4282736.0
medium,UK,2017,5103571.0
medium,UK,2018,5475301.0
medium,UK,2019,5301751.0
medium,VA,2010,
medium,VA,2011,
medium,VA,2012,
medium,VA,2013,
medium,VA,2014,
medium,VA,2015,
medium,VA,2016,
medium,VA,2017,
medium,VA,2018,
medium,VA,2019,
